,Rank,PLAYER,TEAM,P,GS,MIN,G,ASST,SHOTS,SOG,Unnamed: 10
0,1,Dominic Calvert-Lewin,Everton,EVE,2,2,160,4,0,6,5
1,2,Heung-Min Son,Tottenham Hotspur,TOT,2,2,180,4,0,5,5
2,3,Wilfried Zaha,Crystal Palace,CRY,2,2,180,3,0,5,3
3,4,Mohamed Salah Ghaly,Liverpool,LIV,2,2,180,3,0,6,4
4,5,Alexandre Lacazette,Arsenal,ARS,2,2,164,2,0,3,2
5,6,Aleksandar Mitrović,Fulham,FUL,2,1,117,2,0,6,5
6,7,Daniel William John Ings,Southampton,SOU,2,2,180,2,0,4,4
7,8,Patrick Bamford,Leeds United,LEE,2,2,132,2,1,2,2
8,9,Mateusz Klich,Leeds United,LEE,2,2,171,2,1,2,2
9,10,Hélder Wander Sousa de Azevedo e Costa,Leeds United,LEE,2,2,180,2,1,2,2
10,11,Sadio Mané,Liverpool,LIV,2,2,180,2,0,4,3
11,12,Jamie Vardy,Leicester City,LEI,2,2,180,2,0,2,2
12,13,Raúl Jiménez,Wolverhampton Wanderers,WOL,2,2,180,2,0,8,3
13,14,Neal Maupay,Brighton and Hove Albion,BHA,2,2,180,2,1,5,3
14,15,Pierre-Emerick Aubameyang,Arsenal,ARS,2,2,180,1,1,4,4
15,16,Gabriel dos Santos Magalhães,Arsenal,ARS,2,2,180,1,0,1,1
16,17,Eddie Nketiah,Arsenal,ARS,2,0,16,1,0,1,1
17,18,Bobby De Cordova-Reid,Fulham,FUL,2,0,47,1,0,2,1
18,19,Andros Townsend,Crystal Palace,CRY,2,2,180,1,1,3,1
19,20,Jack Harrison,Leeds United,LEE,2,2,180,1,0,2,1
20,21,Virgil van Dijk,Liverpool,LIV,2,2,180,1,0,2,1
21,22,Callum Wilson,Newcastle United,NEW,2,2,175,1,0,5,1
22,23,Jeff Hendrick,Newcastle United,NEW,2,2,180,1,1,2,1
23,24,Michail Antonio,West Ham United,WHU,2,2,180,1,0,5,3
24,25,James Justin,Leicester City,LEI,2,2,180,1,0,1,1
25,26,Timothy Castagne,Leicester City,LEI,2,2,180,1,1,1,1
26,27,Dennis Praet,Leicester City,LEI,2,2,158,1,1,3,2
27,28,Matheus Fellipe Costa Pereira,West Bromwich Albion,WBA,2,2,161,1,1,3,2
28,29,Grady Diangana,West Bromwich Albion,WBA,2,2,161,1,0,3,2
29,30,Harvey Barnes,Leicester City,LEI,2,2,179,1,1,8,5
30,31,Michael Keane,Everton,EVE,2,2,180,1,0,2,1
31,32,Harry Kane,Tottenham Hotspur,TOT,2,2,174,1,4,4,2
32,33,James David Rodríguez Rubio,Everton,EVE,2,2,167,1,1,3,1
33,34,Romain Saïss,Wolverhampton Wanderers,WOL,2,2,180,1,0,3,2
34,35,Jorge Luiz Frello Filho,Chelsea,CHE,2,2,164,1,1,2,2
35,36,Leandro Trossard,Brighton and Hove Albion,BHA,2,2,180,1,1,4,2
36,37,Reece James,Chelsea,CHE,2,2,180,1,1,1,1
37,38,Kurt Zouma,Chelsea,CHE,2,2,180,1,0,2,2
38,39,Aaron Anthony Connolly,Brighton and Hove Albion,BHA,2,1,134,1,0,4,2
39,40,Donny van de Beek,Manchester United,MUN,1,0,23,1,0,1,1
40,41,Jimmy Dunne,Burnley,BRN,1,1,90,1,0,2,1
41,42,Chris Wood,Burnley,BRN,1,1,90,1,0,3,2
42,43,Ezri Konsa Ngoyo,Aston Villa,AVL,1,1,90,1,0,1,1
43,44,Kevin De Bruyne,Manchester City,MCI,1,1,90,1,1,4,4
44,45,Phil Foden,Manchester City,MCI,1,1,90,1,0,2,1
45,46,Gabriel Fernando de Jesus,Manchester City,MCI,1,1,90,1,0,3,3
46,47,Michael Hector,Fulham,FUL,2,2,180,0,0,0,0
